Seq,ra,dec,z,gmag,rmag,FUVmag,NUVmag,Morph,Dist,g-r,BMag,logM*,M1:M2,SFR,logMHI,Sat,Ngh,DR12,Sloan,SimbadName,NED
14,118.8437,15.0938,0.0154,14.77,14.5,16.37,15.71,IM,65.8,0.27,-19.01,9.69,,-0.14,,0,1,DR12,Sloan,LEDA   22184,NED
15,120.3283,25.2899,0.0155,15.4,15.18,,,I,66.23,0.22,-18.41,9.38,53,,9.31,0,3,DR12,Sloan,LEDA   22495,NED
16,122.4474,21.6215,0.0111,15.98,15.75,16.42,15.34,T,47.27,0.23,-17.09,8.86,1,-0.44,,0,1,DR12,Sloan,2MASX J08094750+2137165,NED
17,122.7846,46.4656,0.0074,13.87,13.69,,14.63,I,33.3,0.18,-18.46,9.33,5,-0.18,9.33,0,2,DR12,Sloan,LEDA   22955,NED
18,125.4696,34.3272,0.0077,16.49,16.31,,,I,32.71,0.18,-15.8,8.26,,,,0,6,DR12,Sloan,SDSS J082152.72+341938.1,NED
19,127.3861,14.4518,0.0197,16.02,15.72,16.86,16.42,I,84.44,0.3,-18.29,9.46,9,-0.12,9.51,1,9,DR12,Sloan,SDSSCGB 869.2,NED
20,128.3229,19.3466,0.0193,14.97,14.68,16.54,16.0,IM,82.7,0.29,-19.3,9.84,,-0.01,,0,2,DR12,Sloan,2MASX J08331752+1920478,NED
21,128.3457,29.5386,0.0069,13.06,12.73,14.64,14.35,I,29.29,0.33,-18.94,9.76,2,-0.15,8.91,0,3,DR12,Sloan,NGC  2604,NED
22,128.8927,3.6717,0.0131,16.96,16.71,,,T,55.87,0.25,-16.47,8.65,7,,9.83,1,3,DR12,Sloan,SDSS J083534.26+034018.4,NED
23,129.1278,5.1659,0.0135,15.56,15.4,16.68,15.94,I,57.6,0.16,-17.96,9.1,3,-0.38,9.44,1,5,DR12,Sloan,SDSS J083630.69+050957.4,NED
24,132.908,-2.366,0.0109,13.62,13.38,14.86,15.28,I,46.41,0.24,-19.41,9.81,4,0.16,9.94,0,6,DR12,Sloan,UGC  4638,NED
25,134.6239,6.3213,0.0119,15.51,15.14,16.7,16.23,IB,50.71,0.37,-17.68,9.32,,-0.5,9.26,0,5,DR12,Sloan,UGC  4703,NED
26,135.0654,35.7276,0.0101,13.47,13.26,15.04,14.71,I,42.98,0.21,-19.41,9.76,6,0.02,9.9,0,5,DR12,Sloan,NGC  2719,NED
27,135.0999,25.6147,0.006,14.24,14.14,15.82,15.49,T,25.45,0.1,-17.53,8.83,12,-0.74,8.57,0,14,DR12,Sloan,UGC 4722,NED
28,135.6726,13.1077,0.0164,14.78,14.48,16.55,16.0,IB,70.12,0.3,-19.13,9.79,4,-0.15,,0,4,DR12,Sloan,LEDA   25403,NED
29,137.7848,42.6562,0.006,15.56,15.31,16.39,15.37,I,25.45,0.25,-16.16,8.52,5,-0.97,,0,2,DR12,Sloan,LEDA 2203407,NED
30,139.1047,42.9916,0.0085,14.77,14.57,,,I,36.13,0.2,-17.73,9.07,2,-34.05,,0,1,DR12,Sloan,LEDA   26162,NED
31,139.1834,59.7746,0.0137,14.88,14.6,16.1,15.93,I,58.46,0.28,-18.64,9.56,4,-0.13,9.54,0,2,DR12,Sloan,Mrk   19,NED
32,140.1685,19.3374,0.0139,15.96,15.7,17.09,16.58,I,59.32,0.26,-17.6,9.12,1,-0.52,9.17,0,4,DR12,Sloan,LEDA 1588820,NED
33,142.2739,66.4579,0.0115,14.97,14.75,16.37,16.03,I,48.99,0.22,-18.18,9.28,,-0.39,,0,3,DR12,Sloan,UGC  5042,NED
34,142.5268,60.4481,0.0136,15.21,15.07,16.02,15.74,I,58.03,0.14,-18.34,9.22,,-0.11,,1,4,DR12,Sloan,LB 555,NED
35,143.4291,33.6002,0.0052,15.32,14.98,16.77,16.83,Sh,22.04,0.34,-16.07,8.63,2,-1.25,9.9,0,14,DR12,Sloan,KUG 0930+338,NED
36,144.5608,19.7111,0.0144,17.19,16.99,,,Sh,61.48,0.2,-16.46,8.56,1,,8.87,1,26,DR12,Sloan,SDSS J093814.61+194240.0,NED
37,145.7212,9.49164,0.0107,14.26,14.13,15.31,15.07,I,45.55,0.13,-18.76,9.37,2,-0.03,,1,27,DR12,Sloan,UGC  5189,NED
38,146.03,-0.6598,0.0041,14.85,14.65,16.09,15.62,I,17.37,0.2,-16.06,8.4,2,-1.18,,0,28,DR12,Sloan,UGC  5205,NED
39,147.2779,44.0477,0.0156,15.88,15.76,16.68,15.97,I,66.66,0.12,-17.98,9.04,7,-0.25,,0,6,DR12,Sloan,SDSS J094906.46+440254.3,NED
40,147.9137,44.319,0.015,16.18,15.99,17.03,16.79,I,64.07,0.19,-17.56,8.99,,-0.42,,0,3,DR12,Sloan,ECO 448,NED
41,147.9874,68.8841,0.0146,16.93,16.49,19.1,19.4,I,62.34,0.44,-16.68,9.04,,-1.28,8.35,1,9,DR12,Sloan,SDSS J095157.28+685303.1,NED
42,148.4811,7.0465,0.0174,16.23,15.98,17.79,17.85,L,74.45,0.25,-17.82,9.19,,-0.6,8.12,0,,DR12,Sloan,LEDA 1312671,NED
43,148.8737,8.39062,0.0041,14.77,14.38,16.33,15.49,Sh,23.15,0.39,-16.69,8.96,3,-1.03,8.39,0,2,DR12,Sloan,UGCA 188,NED
