#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
023141-045257,37.921500,-4.882600,-99.000,-99.000,0.19,1.65,-99.00,16.67,26.99,CG,V,C,SuGOHI5
092025+050710,140.104200,5.119400,-99.000,-99.000,0.23,-99.00,-99.00,16.68,-99.00,CG,V,C,"SuGOHI5 SuGOHI6"
135742+010011,209.426400,1.003100,-99.000,-99.000,0.17,-99.00,-99.00,16.70,-99.00,CG,V,C,SuGOHI5
221902-012432,334.759110,-1.408972,-99.000,-99.000,-99.00,-99.00,-99.00,16.70,21.77,GG,Y,C,SuGOHI1
083745+012302,129.439900,1.384000,-99.000,-99.000,0.20,-99.00,-99.00,16.77,-99.00,CG,V,C,SuGOHI5
115610-002100,179.045000,-0.350200,-99.000,-99.000,0.26,2.42,-99.00,16.79,26.89,CG,V,B,SuGOHI5
220805+044603,332.022000,4.767600,-99.000,-99.000,0.27,0.56,-99.00,16.80,17.56,GG,V,B,SuGOHI5
011148-000105,17.953400,-0.018000,-99.000,-99.000,0.26,-99.00,-99.00,16.80,-99.00,CG,V,C,SuGOHI5
120743-010355,181.930200,-1.065300,-99.000,-99.000,0.18,-99.00,-99.00,16.83,-99.00,CG,V,B,SuGOHI5
140329+000641,210.872875,0.111500,-99.000,-99.000,0.18,-99.00,0.83,16.86,-99.00,CG,"K V",A,"SLACS SuGOHI5"
020531-015545,31.381412,-1.929186,-99.000,-99.000,-99.00,-99.00,-99.00,16.88,21.98,GG,Y,C,SuGOHI1
023538-063406,38.909245,-6.568352,-99.000,-99.000,0.20,-99.00,-99.00,16.88,21.67,CG,"V Y",B,"SuGOHI1 SuGOHI5"
151357+433329,228.488000,43.558200,-99.000,-99.000,0.24,-99.00,-99.00,16.90,-99.00,CG,V,B,SuGOHI5
010455+000336,16.230700,0.060100,-99.000,-99.000,0.29,0.44,-99.00,16.93,19.06,CG,V,C,SuGOHI5
233739+001617,354.415500,0.271300,-99.000,-99.000,0.26,1.93,-99.00,17.00,25.52,CG,V,C,SuGOHI5
120044-000933,180.183800,-0.159300,-99.000,-99.000,0.17,1.05,-99.00,17.01,24.22,CG,V,C,SuGOHI5
163257+424611,248.240693,42.769883,-99.000,-99.000,0.22,0.41,1.64,17.04,17.85,CG,"C V",A,"SuGOHI5 SuGOHI4"
224036+013239,340.150600,1.544200,-99.000,-99.000,0.20,-99.00,-99.00,17.05,-99.00,GG,V,C,SuGOHI5
144603-004016,221.514551,-0.671277,0.288,-99.000,0.23,-99.00,-99.00,17.07,-99.00,GG,VY,B,"LinKS SuGOHI6"
010919+015330,17.329300,1.891700,-99.000,-99.000,0.25,1.30,-99.00,17.08,26.42,CG,V,C,SuGOHI5
143932+005358,219.886900,0.899400,-99.000,-99.000,0.27,0.49,-99.00,17.09,23.68,CG,"CNN V",B,"HOLISMOKES8 SuGOHI5 LinKS HOLISMOKES6+13"
225815+003129,344.565500,0.524700,-99.000,-99.000,0.26,1.28,-99.00,17.09,20.16,CG,V,B,SuGOHI5
151848+435253,229.701760,43.881399,-99.000,-99.000,-99.00,-99.00,-99.00,17.10,21.51,GG,Y,C,SuGOHI2
122241+020558,185.672000,2.099700,-99.000,-99.000,0.24,0.34,-99.00,17.10,17.61,GG,V,B,"SuGOHI5 LinKS"
010516+012621,16.317000,1.439200,-99.000,-99.000,0.24,1.00,-99.00,17.11,19.02,CG,V,C,SuGOHI5
084526+010847,131.358475,1.146529,-99.000,-99.000,0.21,-99.00,-99.00,17.13,-99.00,GG,VY,C,SuGOHI6
220535+021033,331.397400,2.176000,-99.000,-99.000,0.26,-99.00,-99.00,17.16,-99.00,CG,V,B,SuGOHI5
133708+011303,204.283300,1.217600,-99.000,-99.000,0.32,-99.00,-99.00,17.21,-99.00,CG,V,B,"SuGOHI5 LinKS"
015635-042442,29.149170,-4.411711,-99.000,-99.000,-99.00,-99.00,-99.00,17.21,21.64,GG,Y,C,SuGOHI1
085235+014227,133.149379,1.707501,-99.000,-99.000,0.23,-99.00,-99.00,17.21,-99.00,GG,VY,C,SuGOHI6
115609-001932,179.041100,-0.325700,-99.000,-99.000,0.27,1.27,-99.00,17.21,23.95,CG,V,B,SuGOHI5
